Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124
Variant 444,1,41,10 days,864000000,10 days,864000000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_101-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 445,1,41,17 days,1468800000,17 days,1468800000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_101-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 446,1,28,"194 days, 8 hours",16792406000,"194 days, 8 hours",16792406000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,08_AWB45_020_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_101-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_060-complete,08_AWB45_070_1-complete,08_AWB45_070_2-complete,08_AWB45_070_5-complete,08_AWB45_090_1-complete,08_AWB45_090_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 447,1,39,10 days,864000000,10 days,864000000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 448,1,39,24 days,2073600000,24 days,2073600000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_101-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 449,1,47,44 days,3801600000,44 days,3801600000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,08_AWB45_020_2-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,08_AWB45_010-complete,01_HOOFD_101-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_193-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 450,1,50,41 days,3542400000,41 days,3542400000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,01_HOOFD_030_2-complete,08_AWB45_020_2-complete,01_HOOFD_101-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_193-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 451,1,34,"53 days, 12 hours",4625814000,"53 days, 12 hours",4625814000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 452,1,37,40 days,3456000000,40 days,3456000000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,14_VRIJ_010-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110-complete,01_HOOFD_101-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 453,1,41,19 days,1641600000,19 days,1641600000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 454,1,71,67 days,5788800000,67 days,5788800000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,10_UOV_035-complete,01_HOOFD_460-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,10_UOV_030-complete,10_UOV_050_2-complete,01_HOOFD_130-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_440_1-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_446-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_045-complete,10_UOV_040-complete,10_UOV_050_1-complete,10_UOV_060-complete,10_UOV_180-complete,10_UOV_070-complete,10_UOV_075-complete,10_UOV_076-complete,10_UOV_080-complete,10_UOV_100-complete,10_UOV_120-complete,12_AP_UOV_010-complete,10_UOV_150-complete,10_UOV_160-complete,10_UOV_170-complete,11_AH_II_010-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 455,1,48,66 days,5702400000,66 days,5702400000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_101-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_193-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 456,1,41,16 days,1382400000,16 days,1382400000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,07_OPS_010-complete,06_VD_010-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 457,1,41,9 days,777600000,9 days,777600000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_101-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_BB_540-complete,01_HOOFD_030_1-complete,01_HOOFD_250-complete,01_HOOFD_195-complete,01_HOOFD_520-complete,01_HOOFD_510_1-complete,01_HOOFD_065_1-complete,01_HOOFD_375-complete,01_HOOFD_260-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_495-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_370-complete,01_HOOFD_015-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 458,1,46,"46 days, 11 hours",4014767000,"46 days, 11 hours",4014767000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_193-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 459,1,47,43 days,3715200000,43 days,3715200000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_193-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 460,1,37,33 days,2851200000,33 days,2851200000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_491-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 461,1,6,"3 days, 11 hours",302066000,"3 days, 11 hours",302066000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 462,1,68,"148 days, 23 hours",12870000000,"148 days, 23 hours",12870000000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_012-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_090-complete,01_HOOFD_130-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_OLO_100-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_191-complete,01_HOOFD_192-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_OLO_120-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_OLO_140-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_OLO_160-complete,01_HOOFD_380-complete,01_HOOFD_440_1-complete,01_HOOFD_445-complete,01_HOOFD_440_2-complete,01_HOOFD_446-complete,01_HOOFD_460-complete,01_HOOFD_465-complete,01_OLO_180-complete,10_UOV_010-complete,10_OLO_100-complete,10_UOV_045-complete,10_UOV_050_2-complete,10_UOV_050_1-complete,10_UOV_060-complete,10_UOV_180-complete,11_AH_II_010-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_OLO_190-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 463,1,36,"6 days, 9 hours",553703000,"6 days, 9 hours",553703000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_012-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
